KODEA/CODIGO;UDALERRIA/MUNICIPIO;EKITALDIA /EJERCICIO;HILABETE/MES;DATUAK ERAUZI EGUNA/FECHA EXTRACCION;ARLO FUNTZIONALA/AREA FUNCIONAL;AZALERA (KM2)/EXTENSION (KM2);BIZTANLE ERROLDA/HABITANTES CENSO;JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2);JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2);JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2);JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2);BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2);BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2);BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2);BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2);HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE;HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO;HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC ;BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB;LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE;LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO;LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC ;BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ;NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR;BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
"=071";MUSKIZ;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;20;7449;1668797,7;0;144252,38;96404,380000000005;566028,55000000005;63453,400000000001;129054,28;20559,779999999999;555;835;0;283;108;0;0;16;40;10
"=072";OTXANDIO;2024;4;2024-05-07T17:00:32Z;Álava Central;12;1298;81888,5;39143,93;97453,449999999997;67884,449999999997;210788,29999999999;35323,330000000002;9864,5900000000001;15118,84;93;0;87;171;20;20;20;60;38;12
"=073";ONDARROA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;4;8794;148747,45000000001;0;0;76937,429999999993;243859,35000000001;10260,17;0;0;504;96;0;100;0;0;0;0;16;3
"=074";URDUÑA/ORDUÑA;2024;4;2024-05-07T17:00:32Z;Llodio;33;4205;195418,04000000001;55392;287245;272197,84000000003;785652,18999999994;172166,04000000001;393869,45000000001;571494,44999999995;475;0;0;425;234;0;0;226;0;0
"=075";OROZKO;2024;4;2024-05-07T17:00:32Z;Llodio;102;2552;68626,979999999996;0;110305,95;38912,330000000002;402651,59000000003;66870,699999999997;196144;169453;229;0;0;95;382;110;0;368;331;104
"=076";SUKARRIETA;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;1;339;0;0;0;0;128897,07000000001;37782,550000000003;36705;24704,450000000001;158;0;0;110;35;0;0;22;0;0
"=077";PLENTZIA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;5;4407;504,80000000000001;912,5;0;0;295107,66999999998;9773,5499999999993;771300;27504;397;38;98;119;0;0;0;11;0;0
"=078";PORTUGALETE;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;3;47631;111543,28999999999;0;147930;117164;1028653,63;95977,139999999999;108774;58863;609;303;115;852;233;549;99;495;0;0
"=079";ERRIGOITI;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;16;534;1068,6400000000001;0;62336;62336;108976,84;38043,760000000002;27479,84;27479,84;35;0;6;22;46;0;0;46;49;4
"=080";VALLE DE TRAPAGA-TRAPAGARAN;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;12;12126;1311267,6100000001;452977,06;323654,23999999999;589824,06999999995;525480,03000000003;85904,5;110409,3;119543,12;878;268;123;843;0;430;138;568;0;0
